Temp,Humd,Label
24.0,27.0,1
24.0,27.0,1
24.0,27.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
25.0,28.0,1
25.0,28.0,1
25.0,28.0,1
25.0,28.0,1
25.0,40.0,1
25.0,39.0,1
25.0,51.0,1
25.0,49.0,1
25.0,53.0,1
25.0,52.0,1
25.0,52.0,1
25.0,61.0,1
25.0,69.0,1
26.0,72.0,1
26.0,74.0,1
26.0,84.0,1
27.0,85.0,1
27.0,85.0,1
27.0,85.0,1
27.0,85.0,1
27.0,85.0,1
27.0,85.0,1
27.0,84.0,1
27.0,83.0,1
27.0,83.0,1
27.0,83.0,1
27.0,82.0,1
27.0,82.0,1
27.0,81.0,1
27.0,81.0,1
27.0,81.0,1
27.0,81.0,1
27.0,80.0,1
27.0,79.0,1
27.0,79.0,1
27.0,78.0,1
27.0,77.0,1
27.0,77.0,1
27.0,76.0,1
27.0,75.0,1
27.0,74.0,1
27.0,73.0,1
27.0,73.0,1
27.0,73.0,1
28.0,71.0,1
28.0,71.0,1
28.0,71.0,1
28.0,70.0,1
28.0,70.0,1
28.0,69.0,1
28.0,68.0,1
28.0,68.0,1
28.0,68.0,1
28.0,68.0,1
28.0,67.0,1
28.0,66.0,1
28.0,66.0,1
28.0,66.0,1
28.0,66.0,1
28.0,65.0,1
28.0,62.0,1
28.0,61.0,1
28.0,61.0,1
28.0,61.0,1
28.0,60.0,1
28.0,59.0,1
28.0,59.0,1
28.0,58.0,1
28.0,58.0,1
28.0,57.0,1
28.0,57.0,1
28.0,56.0,1
28.0,54.0,1
28.0,53.0,1
28.0,53.0,1
28.0,52.0,1
28.0,52.0,1
28.0,51.0,1
28.0,51.0,1
28.0,51.0,1
28.0,50.0,1
28.0,49.0,1
28.0,49.0,1
28.0,49.0,1
28.0,49.0,1
28.0,49.0,1
28.0,50.0,1
28.0,50.0,1
28.0,50.0,1
28.0,49.0,1
28.0,48.0,1
28.0,48.0,1
28.0,48.0,1
29.0,48.0,1
29.0,47.0,1
29.0,47.0,1
29.0,47.0,1
29.0,47.0,1
29.0,47.0,1
29.0,46.0,1
29.0,46.0,1
29.0,46.0,1
29.0,45.0,1
29.0,45.0,1
29.0,45.0,1
29.0,45.0,1
29.0,45.0,1
29.0,45.0,1
29.0,44.0,1
29.0,44.0,1
29.0,44.0,1
29.0,44.0,1
29.0,45.0,1
29.0,45.0,1
29.0,45.0,1
29.0,45.0,1
29.0,45.0,1
29.0,46.0,1
29.0,47.0,1
29.0,47.0,1
29.0,49.0,1
29.0,49.0,1
29.0,49.0,1
29.0,49.0,1
29.0,50.0,1
29.0,50.0,1
29.0,51.0,1
29.0,52.0,1
29.0,52.0,1
29.0,51.0,1
29.0,51.0,1
29.0,51.0,1
29.0,50.0,1
29.0,50.0,1
29.0,50.0,1
30.0,48.0,1
30.0,48.0,1
30.0,48.0,1
30.0,51.0,1
30.0,51.0,1
30.0,51.0,1
30.0,51.0,1
30.0,51.0,1
30.0,53.0,1
30.0,53.0,1
30.0,53.0,1
30.0,54.0,1
30.0,51.0,1
30.0,51.0,1
30.0,51.0,1
30.0,50.0,1
30.0,50.0,1
30.0,50.0,1
30.0,50.0,1
30.0,50.0,1
30.0,50.0,1
30.0,50.0,1
30.0,51.0,1
30.0,53.0,1
30.0,52.0,1
30.0,52.0,1
30.0,52.0,1
30.0,51.0,1
30.0,50.0,1
30.0,49.0,1
30.0,49.0,1
30.0,48.0,1
30.0,48.0,1
30.0,47.0,1
30.0,47.0,1
30.0,47.0,1
30.0,46.0,1
30.0,46.0,1
31.0,46.0,1
31.0,45.0,1
31.0,45.0,1
31.0,44.0,1
31.0,44.0,1
31.0,43.0,1
31.0,43.0,1
31.0,42.0,1
31.0,42.0,1
31.0,41.0,1
31.0,41.0,1
31.0,41.0,1
31.0,41.0,1
31.0,41.0,1
31.0,43.0,1
31.0,70.0,1
31.0,71.0,1
31.0,71.0,1
31.0,72.0,1
31.0,73.0,1
31.0,73.0,1
31.0,73.0,1
31.0,73.0,1
31.0,72.0,1
31.0,71.0,1
31.0,71.0,1
31.0,71.0,1
31.0,70.0,1
31.0,69.0,1
31.0,69.0,1
31.0,68.0,1
31.0,67.0,1
31.0,67.0,1
31.0,69.0,1
31.0,69.0,1
31.0,70.0,1
31.0,71.0,1
31.0,71.0,1
31.0,71.0,1
31.0,70.0,1
31.0,65.0,1
31.0,65.0,1
31.0,64.0,1
31.0,63.0,1
31.0,62.0,1
31.0,65.0,1
31.0,69.0,1
31.0,68.0,1
31.0,70.0,1
32.0,70.0,1
32.0,70.0,1
32.0,69.0,1
32.0,68.0,1
32.0,68.0,1
32.0,67.0,1
32.0,62.0,1
32.0,62.0,1
32.0,62.0,1
32.0,65.0,1
32.0,66.0,1
32.0,65.0,1
32.0,64.0,1
32.0,63.0,1
32.0,62.0,1
32.0,61.0,1
32.0,61.0,1
32.0,60.0,1
32.0,59.0,1
32.0,58.0,1
32.0,57.0,1
32.0,57.0,1
32.0,56.0,1
32.0,56.0,1
32.0,55.0,1
32.0,54.0,1
32.0,54.0,1
32.0,53.0,1
32.0,52.0,1
32.0,52.0,1
32.0,51.0,1
32.0,50.0,1
32.0,49.0,1
32.0,48.0,1
32.0,48.0,1
32.0,47.0,1
32.0,47.0,1
32.0,47.0,1
32.0,46.0,1
32.0,46.0,1
32.0,46.0,1
32.0,46.0,1
32.0,46.0,1
32.0,45.0,1
32.0,45.0,1
32.0,45.0,1
32.0,44.0,1
32.0,44.0,1
32.0,44.0,1
32.0,43.0,1
32.0,43.0,1
32.0,42.0,1
32.0,42.0,1
32.0,42.0,1
32.0,42.0,1
32.0,41.0,1
32.0,41.0,1
32.0,41.0,1
32.0,42.0,1
32.0,42.0,1
32.0,43.0,1
32.0,43.0,1
32.0,42.0,1
32.0,42.0,1
32.0,42.0,1
32.0,42.0,1
32.0,41.0,1
32.0,41.0,1
32.0,41.0,1
32.0,40.0,1
32.0,40.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,38.0,1
32.0,47.0,1
32.0,46.0,1
32.0,46.0,1
32.0,46.0,1
32.0,46.0,1
32.0,45.0,1
32.0,45.0,1
32.0,45.0,1
32.0,44.0,1
32.0,42.0,1
32.0,42.0,1
32.0,42.0,1
32.0,42.0,1
32.0,41.0,1
32.0,41.0,1
32.0,41.0,1
32.0,41.0,1
32.0,40.0,1
32.0,40.0,1
32.0,40.0,1
32.0,56.0,1
32.0,54.0,1
32.0,53.0,1
32.0,52.0,1
32.0,52.0,1
32.0,51.0,1
32.0,51.0,1
32.0,51.0,1
32.0,50.0,1
32.0,49.0,1
32.0,48.0,1
32.0,47.0,1
32.0,47.0,1
32.0,47.0,1
32.0,46.0,1
32.0,46.0,1
32.0,45.0,1
32.0,45.0,1
32.0,42.0,1
32.0,42.0,1
32.0,41.0,1
32.0,41.0,1
32.0,41.0,1
32.0,40.0,1
32.0,40.0,1
32.0,40.0,1
32.0,40.0,1
32.0,40.0,1
32.0,40.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,37.0,1
32.0,37.0,1
32.0,37.0,1
32.0,37.0,1
32.0,37.0,1
32.0,37.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,42.0,1
32.0,41.0,1
32.0,41.0,1
32.0,41.0,1
32.0,40.0,1
32.0,40.0,1
32.0,40.0,1
32.0,40.0,1
32.0,40.0,1
32.0,40.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,39.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,38.0,1
32.0,37.0,1
32.0,53.0,1
32.0,53.0,1
32.0,52.0,1
32.0,52.0,1
32.0,51.0,1
32.0,50.0,1
32.0,49.0,1
32.0,48.0,1
32.0,45.0,1
32.0,44.0,1
32.0,43.0,1
32.0,43.0,1
32.0,42.0,1
32.0,42.0,1
32.0,41.0,1
32.0,41.0,1
32.0,41.0,1
32.0,40.0,1
32.0,40.0,1
32.0,39.0,1
32.0,39.0,1
32.0,37.0,1
32.0,36.0,1
32.0,36.0,1
32.0,36.0,1
32.0,36.0,1
32.0,35.0,1
32.0,35.0,1
32.0,35.0,1
32.0,34.0,1
32.0,34.0,1
32.0,34.0,1
32.0,33.0,1
32.0,33.0,1
32.0,33.0,1
32.0,32.0,1
32.0,32.0,1
32.0,32.0,1
32.0,32.0,1
32.0,32.0,1
31.0,32.0,1
31.0,31.0,1
31.0,31.0,1
31.0,31.0,1
31.0,31.0,1
31.0,31.0,1
31.0,31.0,1
31.0,31.0,1
31.0,30.0,1
31.0,30.0,1
31.0,30.0,1
31.0,30.0,1
31.0,30.0,1
31.0,29.0,1
31.0,29.0,1
31.0,28.0,1
31.0,28.0,1
31.0,28.0,1
31.0,28.0,1
31.0,28.0,1
31.0,28.0,1
31.0,28.0,1
31.0,28.0,1
31.0,28.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,27.0,1
31.0,26.0,1
31.0,26.0,1
30.0,26.0,1
30.0,26.0,1
30.0,26.0,1
30.0,26.0,1
30.0,26.0,1
30.0,26.0,1
30.0,26.0,1
30.0,26.0,1
30.0,26.0,1
30.0,26.0,1
30.0,25.0,1
30.0,26.0,1
30.0,27.0,1
30.0,27.0,1
30.0,47.0,1
30.0,61.0,1
366.0,901.0,0
413.0,761.0,0
237.0,655.0,0
74.0,269.0,0
55.0,248.0,0
6.0,225.0,0
81.0,253.0,0
38.0,177.0,0
15.0,194.0,0
19.0,278.0,0
69.0,300.0,0
187.0,184.0,0
179.0,106.0,0
121.0,196.0,0
152.0,153.0,0
62.0,266.0,0
26.0,254.0,0
174.0,281.0,0
178.0,284.0,0
105.0,117.0,0
108.0,233.0,0
65.0,284.0,0
